Company (Manufacturer),mean cocoa percent,median cocoa percent,max cocoa percent,min cocoa percent
Brazen,70.0,70.0,70.0,70.0
Zac Squared,70.0,70.0,70.0,70.0
Britarev,70.0,70.0,70.0,70.0
Zacharias,70.0,70.0,70.0,70.0
By Cacao,70.0,70.0,70.0,70.0
Aelan,70.0,70.0,70.0,70.0
Woodblock,70.0,70.0,70.0,70.0
Qantu,70.0,70.0,70.0,70.0
Q Chocolate,70.0,70.0,85.0,55.0
Cacai Cacao,70.0,70.0,70.0,70.0
Public Chocolatory,70.0,70.0,70.0,70.0
Cacao Arabuco,70.0,70.0,70.0,70.0
Roasting Masters,70.0,70.0,70.0,70.0
Utopick,70.0,70.0,70.0,70.0
Amazing Cacao,70.0,70.0,70.0,70.0
Amedei,70.0,70.0,70.0,70.0
Bellflower,70.0,70.0,70.0,70.0
The Barn,70.0,70.0,70.0,70.0
Pollinator,70.0,70.0,70.0,70.0
Theobroma,70.0,70.0,70.0,70.0
Thistle & Rose aka Aggie USU,70.0,70.0,70.0,70.0
Bakau,70.0,70.0,70.0,70.0
Baiani,70.0,70.0,70.0,70.0
Tobago Estate (Pralus),70.0,70.0,70.0,70.0
Spinnaker,70.0,70.0,70.0,70.0
Tosier,70.0,70.0,70.0,70.0
Tree to Bar,70.0,70.0,70.0,70.0
Treehouse aka Indaphoria,70.0,70.0,70.0,70.0
Somerville,70.0,70.0,70.0,70.0
Solstice,70.0,70.0,70.0,70.0
Triangle Roasters,70.0,70.0,70.0,70.0
Soklet,70.0,70.0,70.0,70.0
Bixby,70.0,70.0,70.0,70.0
Sibu Sura,70.0,70.0,70.0,70.0
Black Mountain,70.0,70.0,70.0,70.0
Tribe,70.0,70.0,70.0,70.0
Avanaa,70.0,70.0,70.0,70.0
Shane Chocolate Works,70.0,70.0,70.0,70.0
Seaforth,70.0,70.0,70.0,70.0
Auro,70.0,70.0,70.0,70.0
Vicuna,70.0,70.0,70.0,70.0
Argencove,70.0,70.0,70.0,70.0
Boho,70.0,70.0,70.0,70.0
Cacao Gonzales,70.0,70.0,70.0,70.0
Foundry,70.0,70.0,70.0,70.0
Christophe Toury,70.0,70.0,70.0,70.0
Madhu,70.0,70.0,70.0,70.0
Heirloom Cacao Preservation (Millcreek),70.0,70.0,70.0,70.0
Cacao Store,70.0,70.0,70.0,70.0
Lonohana,70.0,70.0,70.0,70.0
Dandelion (Japan),70.0,70.0,70.0,70.0
Dandelion,70.0,70.0,70.0,70.0
MUCHO,70.0,70.0,70.0,70.0
Heirloom Cacao Preservation (Brasstown),70.0,70.0,70.0,70.0
Malai,70.0,70.0,70.0,70.0
Lilla,70.0,70.0,70.0,70.0
Malmo,70.0,70.0,70.0,70.0
Hecho,70.0,70.0,70.0,70.0
Crow and Moss,70.0,70.0,70.0,70.0
Cote d' Or (Kraft),70.0,70.0,70.0,70.0
Harris & James,70.0,70.0,70.0,70.0
Maui Kuia,70.0,70.0,70.0,70.0
McGuire,70.0,70.0,70.0,70.0
El Buen,70.0,70.0,70.0,70.0
Letterpress,70.0,70.0,70.0,70.0
Chocovivo,70.0,70.0,75.0,65.0
Dulcinea,70.0,70.0,70.0,70.0
Kad Kokoa,70.0,70.0,70.0,70.0
Kah Kow,70.0,70.0,70.0,70.0
Hummingbird,70.0,70.0,70.0,70.0
Dole (Guittard),70.0,70.0,70.0,70.0
Kasama,70.0,70.0,70.0,70.0
Kerchner,70.0,70.0,70.0,70.0
Kin + Pod,70.0,70.0,70.0,70.0
Krak,70.0,70.0,70.0,70.0
Legast,70.0,70.0,70.0,70.0
Hemisphere,70.0,70.0,70.0,70.0
La Chocolaterie Nanairo,70.0,70.0,70.0,70.0
